different digits: 272255

<digits> <times>
b'310' 101
b'530' 101
b'618' 100
b'328' 100
b'945' 100
b'115' 100
b'1219' 100
b'962464' 100
b'7788' 99
b'1227' 99
b'323' 99
b'1022' 99
b'1215' 99
b'1211' 99
b'891023' 99
b'1231' 98
b'098' 98
b'251314' 98
b'1015' 98
b'1019' 98
b'55555' 97
b'223' 97
b'709394' 97
b'886' 97
b'5210' 96
b'1014' 96
b'723' 96
b'876' 96
b'1027' 96
b'168168' 96
b'815' 96
b'1129' 95
b'327' 95
b'202' 95
b'360' 95
b'610' 94
b'1127' 94
b'1208' 94
b'5203344' 94
b'500' 93
b'1016' 93
b'316' 93
b'1972' 93
b'1126' 92
b'216' 92
b'002' 91
b'616' 91
b'522' 90
b'1216' 90
b'219' 90
b'007007' 89
b'222222' 89
b'412' 89
b'516' 89
b'628' 89
b'1112' 89
b'526' 89
b'1215225' 89
b'369258' 89
b'394' 89
b'210' 88
b'109' 88
b'300' 88
b'1104' 87
b'9527' 87
b'111111111' 87
b'313' 87
b'423' 87
b'135790' 87
b'852456' 86
b'0214' 86
b'678' 86
b'1234568' 86
b'000000000' 86
b'7654321' 86
b'324' 85
b'1971' 85
b'567' 84
b'2011' 84
b'6666' 84
b'7410' 84
b'54188' 84
b'107' 84
b'5678' 84
b'1228' 84
b'357' 83
b'147369' 83
b'710' 83
b'916' 83
b'529' 83
b'215' 82
b'89757' 82
b'319' 82
b'578' 81
b'336699' 81
b'711' 81
b'421' 81
b'515' 81
b'5945' 81
b'221' 81
b'988' 81
b'105' 81
b'626' 81
b'1217' 81
b'212' 81
b'303' 80
b'1118' 80
b'326' 80
b'1204' 80
b'668' 80
b'142536' 79
b'010203' 79
b'6688' 79
b'923' 79
b'1206' 78
b'1101' 78
b'818' 78
b'2468' 78
b'103' 78
b'891129' 78
b'317' 78
b'12300' 78
b'3000' 77
b'025' 77
b'217' 77
b'444' 77
b'21563' 77
b'410' 76
b'810' 76
b'825' 76
b'8899' 76
b'625' 76
b'1201' 76
b'519' 76
b'823' 76
b'8873' 76
b'151' 76
b'910' 75
b'5213344' 75
b'998' 75
b'927' 75
b'020' 75
b'1207' 75
b'1105' 75
b'520090025' 75
b'101010' 75
b'521314' 75
b'321654' 75
b'8520' 75
b'622' 75
b'718' 75
b'839' 75
b'520530' 75
b'688' 75
b'963852741' 74
b'721521' 74
b'228' 74
b'753159' 74
b'1102' 74
b'611' 74
b'143' 74
b'1115' 74
b'74108520963' 74
b'1008' 74
b'226' 73
b'1113' 73
b'000123' 73
b'11235813' 73
b'5200' 73
b'422' 73
b'112244' 73
b'615' 72
b'1007' 72
b'121314' 72
b'231' 72
b'929' 72
b'623' 72
b'717' 72
b'741852963' 72
b'301' 71
b'1117' 71
b'021' 71
b'712' 71
b'1209' 71
b'124578' 71
b'106' 71
b'731' 71
b'456456' 71
b'1110' 70
b'826' 70
b'420' 70
b'912' 70
b'816' 70
b'5845201314' 70
b'8848' 70
b'0101' 70
b'1130' 70
b'225' 70
b'411' 70
b'1002' 70
b'1005' 70
b'188' 69
b'19491001' 69
b'925' 69
b'330' 69
b'920' 69
b'926' 69
b'820' 68
b'1968' 68
b'7890' 68
b'227' 68
b'1412' 68
b'720' 68
b'87654321' 68
b'0910' 67
b'1006' 67
b'208' 67
b'789789' 67
b'20080808' 67
b'811' 67
b'023' 67
b'263' 66
b'1229' 66
b'220' 66
b'827' 66
b'89400' 66
b'919' 65
b'0929' 65
b'012' 65
b'505' 65
b'1203' 65
b'714' 65
b'203' 65
b'909' 65
b'0311' 65
b'0340412124' 65
b'2597758' 64
b'831101' 64
b'425' 64
b'789123' 64
b'413' 64
b'224' 64
b'729' 64
b'1108' 64
b'418' 63
b'416' 63
b'123465' 63
b'199' 63
b'727' 63
b'898' 63
b'813' 63
b'0102' 63
b'417' 63
b'900' 63
b'921' 63
b'369369' 63
b'189' 63
b'1688' 62
b'1949' 62
b'620' 62
b'514' 62
b'1202' 62
b'0310' 62
b'621' 62
b'501' 62
b'564335' 62
b'0516' 62
b'7894561230' 62
b'502' 62
b'147852369' 61
b'426' 61
b'1009' 61
b'612' 61
b'3333' 61
b'123698745' 61
b'123520' 61
b'430' 61
b'5555' 61
b'716' 61
b'619' 61
b'700' 61
b'1111111111' 61
b'169' 60
b'1116' 60
b'713' 60
b'302' 60
b'0812' 60
b'829' 60
b'131425' 60
b'256' 59
b'617' 59
b'3210' 59
b'518518' 59
b'613' 59
b'0512' 59
b'8866' 59
b'2222' 59
b'627' 59
b'198611' 59
b'531' 59
b'719' 59
b'1103' 59
b'0415' 59
b'722' 59
b'198712' 59
b'12301230' 59
b'725' 59
b'0321' 58
b'1109' 58
b'415' 58
b'0827' 58
b'812' 58
b'0816' 58
b'1119' 58
b'0723' 58
b'814' 57
b'543' 57
b'0413' 57
b'1106' 57
b'0922' 57
b'888999' 57
b'1003' 57
b'0909' 57
b'307' 57
b'159951' 57
b'4444' 56
b'913' 56
b'914' 56
b'0312' 56
b'0521' 56
b'0987' 56
b'1969' 56
b'728' 56
b'0920' 56
b'821' 56
b'624' 55
b'1314159' 55
b'0426' 55
b'258456' 55
b'428' 55
b'104' 55
b'9876543210' 55
b'715' 55
b'006' 55
b'520123' 55
b'0908' 55
b'555555' 55
b'2345' 55
b'924' 55
b'246865' 55
b'0913' 55
b'0523' 55
b'122333' 55
b'1107' 54
b'156' 54
b'1949101' 54
b'824' 54
b'0217' 54
b'205' 54
b'1114' 54
b'726' 54
b'646656' 54
b'198811' 54
b'0128' 53
b'0513' 53
b'1357' 53
b'830' 53
b'309' 53
b'005' 53
b'1031' 53
b'917' 53
b'822' 53
b'1004' 53
b'0822' 53
b'401' 52
b'329' 52
b'0315' 52
b'0712' 52
b'123987' 52
b'0701' 52
b'915' 52
b'011' 52
b'429' 52
b'1314258' 52
b'520025' 52
b'0906' 52
b'990' 51
b'419' 51
b'5257' 51
b'588' 51
b'145' 51
b'8675309' 51
b'0921' 51
b'4869' 51
b'123963' 51
b'629' 50
b'614' 50
b'230' 50
b'0613' 50
b'831' 50
b'4561230' 50
b'568' 50
b'178' 50
b'152' 50
b'198711' 50
b'983' 50
b'0518' 50
b'235' 50
b'0405' 50
b'414' 50
b'846528' 50
b'12580' 50
