different specials: 2234

<specials> <times>
b'\xbf\xaa\xd0\xc4\xd2\xbb\xcc\xec' 1
b'!@@$' 1
b';!((!' 1
b'=[;-' 1
b'\xb8\xe7\xca\xc7\xce\xa8\xd2\xbb\xb4\xab\xcb\xb5' 1
b";/']" 1
b'&$)' 1
b'--..' 1
b'&$)!@(' 1
b'&\xa3\xa8\xa1\xc1' 1
b';/.,' 1
b':/?' 1
b'^%!%#%#!' 1
b')^@(' 1
b'`..' 1
b'\xc1\xa6\xd5\xf9' 1
b'$$##' 1
b'*@@(' 1
b'^_-+^' 1
b'`=-' 1
b'^=' 1
b'!#^' 1
b'\xa7\xda\xa7\xe6\xa7\xe4\xa7\xd3\xa7\xdc\xa7\xdf' 1
b'/?@#$' 1
b'-%%' 1
b'\xc9\xcf\xba\xa3\xb1\xb4\xcb\xfe\xcb\xb9\xc2\xfc' 1
b'%!*' 1
b'@@@%@(' 1
b'!@#$?>' 1
b'(^$^%)$' 1
b'---@' 1
b'&$)%)@' 1
b'*^&' 1
b' = "' 1
b'!@#$+%?&*+' 1
b';\\-\\' 1
b'!)!!' 1
b'_|+' 1
b'-=\\][' 1
b'(^)*)%' 1
b'__.' 1
b'*=-' 1
b'$#!*@%%' 1
b'  ++' 1
b'[<' 1
b'~~~~~~' 1
b'_[' 1
b'!?!?' 1
b'{}.' 1
b'<:?>' 1
b'!?;' 1
b'!))*^@(' 1
b'*)$' 1
b'!"\xa1\xea$%^' 1
b'^^!)&&$' 1
b'**~~' 1
b'$#^+?' 1
b'.-*' 1
b'%*$%@)' 1
b'}"?' 1
b'(\xa8\xa8?\xa8\xa4&(?' 1
b'()%*' 1
b'<%=' 1
b'}}{{' 1
b'..~' 1
b'%[' 1
b'#@!<>' 1
b'//#' 1
b'**@!' 1
b'\xc2\xc1\xb2\xc4' 1
b'!%!%))' 1
b'#?*' 1
b'~@$' 1
b'+!@' 1
b'/!/' 1
b'@#.' 1
b')()(@)!!&' 1
b'?!@#' 1
b'!(**)(' 1
b'^^&&**' 1
b'^(#' 1
b'\xb4\xf3' 1
b'%!@' 1
b'()!!@*' 1
b'<:' 1
b'(./' 1
b'\xb2\xbb\xd4\xd9\xcf\xde\xd3\xda\xd2\xb3\xc3\xe6\xbd\xc5\xb1\xbe ' 1
b'+*+*' 1
b'%#!!' 1
b'`!' 1
b'~?' 1
b'\xd0\xe9\xc4\xe2\xbb\xfa' 1
b'\\=[' 1
b'//:' 1
b')@@!' 1
b'&|' 1
b'+@#$' 1
b'//??' 1
b'\xa7\xd3\xa7\xea\xa7\xe6\xa7\xda\xa7\xd5\xa7\xeb' 1
b')&!' 1
b'%$!@%)' 1
b'<=' 1
b'\xc3\xb8\xbb\xee\xc1\xa6\xb5\xc4\xb6\xa8\xd2\xe5\xa3\xba' 1
b'..+..' 1
b'!(%@' 1
b'$!!' 1
b'()^' 1
b'_``' 1
b'%^$##%' 1
b'@@,.' 1
b'!@*()' 1
b'*&&' 1
b'+>?' 1
b'(!%' 1
b'??@@' 1
b'!*@@#(+' 1
b'\xc9\xb2\xc4\xc7' 1
b'+_+_+_' 1
b'**)#' 1
b'//@@' 1
b'-=][' 1
b'?~?~' 1
b'@=/////' 1
b'|<' 1
b'#??' 1
b'!@)%' 1
b'#@!!!' 1
b'-*/*' 1
b'+-*/@' 1
b'!@!#' 1
b'\xb8\xe8\xb5\xc2\xcd\xfe\xb6\xfb' 1
b'&&))$@)' 1
b'^@)!#!$' 1
b'@!+*' 1
b'+]&' 1
b')!!%***' 1
b'@!!_' 1
b'\\\\\\\\\\' 1
b'@,./' 1
b'%(&' 1
b'..?' 1
b'+-*/!' 1
b'#!.' 1
b'$%^=' 1
b'!$#&' 1
b'@@%%*(!' 1
b'(()' 1
b'==--.' 1
b' - ' 1
b'+*-/' 1
b'?><":' 1
b'*#~' 1
b')%)%' 1
b'-_@!~' 1
b')==' 1
b'!(^^^^' 1
b'*-.' 1
b'))&))!' 1
b"\\]='[-;" 1
b'$&^' 1
b'%^***^' 1
b'@!!!' 1
b'%*!!@(' 1
b'*//..' 1
b'*@%' 1
b'()$%' 1
b'~#`$' 1
b'^^!' 1
b'..!' 1
b',.,.' 1
b'..++**' 1
b'\xd2\xd6\xd3\xf4\xcd\xf5\xd7\xd3\xd2\xbb\xba\xc5' 1
b')#@*' 1
b'~**+' 1
b'!(@#' 1
b'?~' 1
b'}?' 1
b'*`' 1
b'*&%' 1
b'(*(' 1
b'#!(%##' 1
b'\xa3\xa1=' 1
b'\xa3\xa1=!' 1
b')!@)' 1
b'\xc0\xbc' 1
b'\xa1\xf9\xa9' 1
b'<?>' 1
b'$)*' 1
b'/*-++' 1
b'%$,' 1
b'$?' 1
b'@##%' 1
b'\xa3\xa1\xa3\xa1' 1
b'*#@%' 1
b'("%' 1
b'..--' 1
b'\xcb\xae\xb6\xab\xd6\xd0\xd1\xa7' 1
b'.;[=' 1
b'^@' 1
b'!)^' 1
b'%@**@%)' 1
b'``!' 1
b'^__^' 1
b'{@#$' 1
b'*#=' 1
b'!?@' 1
b'*/=' 1
b'&&&&' 1
b'@!^#>' 1
b'.+_' 1
b'@$^*&' 1
b' :-' 1
b'@@@@@@@@' 1
b'=&' 1
b'++_' 1
b'!@$*' 1
b'./.' 1
b'./\\' 1
b'.*?%^' 1
b'>+' 1
b'``*/' 1
b'@&@%' 1
b'<??>' 1
b'~!@#$%^\\=-' 1
b'!@-=./' 1
b'!()+' 1
b'!@)*' 1
b'\xa1\xbe' 1
b')(!^' 1
b'.@#$' 1
b'\xbd\xe2\xca\xcd\xb5\xdb:\xcf\xb8\xca\xfd' 1
b'^&^%@)' 1
b'**--' 1
b'\xba\xb5\xd1\xbc\xd7\xd3' 1
b')@!#' 1
b'????////' 1
b'#$@!' 1
b'!@!^' 1
b'~!@`' 1
b'=-[]' 1
b'!@@!' 1
b'!++' 1
b'*!*' 1
b'$#^@#' 1
b'$$%%' 1
b'____@@' 1
b'$\\' 1
b'{\\' 1
b'+-*/~' 1
b'||||' 1
b'!!/' 1
b'&$^' 1
b':<' 1
b'@@##*' 1
b'\\./' 1
b'#\xc8\xeb\xc3\xc5\xbe\xad\xb5\xe4\xb5\xda\xcb\xc4\xb0\xe6' 1
b'\xa8\x8d \xa8\x8e \xa8\x8f \xa8\x90' 1
b'!@#$%^@' 1
b'*!&' 1
b'!@#!@#' 1
b'/**' 1
b'@$#%%*' 1
b'!@#!' 1
b'!)!' 1
b'!--!' 1
b';//' 1
b'@#$%@' 1
b'=?==' 1
b'{].' 1
b'!#%?' 1
b'@()' 1
b'[[[]]]' 1
b'**@^$%' 1
b'==================' 1
b'[]\\\\\\\\' 1
b'&%)^)*' 1
b'*$$@$/' 1
b'*%@' 1
b'\xd0\xa1\xd0\xa1\xb5\xc4\xc8\xcb\xb0\xa1' 1
b'}.?!' 1
b'#$%?' 1
b'   @' 1
b'#&@!' 1
b'*&&^' 1
b'-***' 1
b'+-.' 1
b'?&*()' 1
b'&-' 1
b'\xcf\xb0\xbd\xfc\xc6\xbd\xa8' 1
b'#%)*' 1
b'\xb3\xc2\xd4\xc6\xc6\xbb\xb5\xc4\xd3\xee\xcb\xb9' 1
b'``+.' 1
b'^**^()' 1
b'++ ' 1
b'%$#@!!@#$%' 1
b'!!)*))' 1
b'*/+' 1
b"* %:)'" 1
b'+@#' 1
b'~~!!' 1
b'!#@$' 1
b'*^@$^#@' 1
b'!@#$%&^' 1
b'~.' 1
b'@!**' 1
b'@@!@#' 1
b'*^*' 1
b'<!&(' 1
b'/\\/\\/\\/\\@' 1
b'!(())#@)' 1
b'##)(#@' 1
b'%_' 1
b'@~*' 1
b'&&%%' 1
b'%!#(%##' 1
b'-=[;.\\' 1
b'%$@' 1
b'___=-' 1
b'\xd2\xc0_' 1
b'&@$&&!@$&' 1
b'$+' 1
b'#$!^' 1
b'\xc0\xee\xbb\xd4' 1
b'@#$%_' 1
b'_@.' 1
b'-(*_' 1
b'^^^^' 1
b'^^@#^^' 1
b',_' 1
b'?>' 1
b'()!' 1
b'!))' 1
b'}[' 1
b'\xb5\xe7\xc1\xa6' 1
b'..++..' 1
b'\xd1\xef\xcc\xec' 1
b'??~' 1
b'!!^^**' 1
b'()!!)*' 1
b'_!?' 1
b'^%%' 1
b'<**>' 1
b'+*+*+-' 1
b'^()' 1
b'###///' 1
b'-+-+-+' 1
b'\\.' 1
b";'-=" 1
b'(&)' 1
b'^^_' 1
b'<.?' 1
b'@@@***' 1
b'(*)$' 1
b'  ./' 1
b'!!(' 1
b'\\=' 1
b'&&^^' 1
b'\xcd\xbc\xca\xe9\xb9\xdc\xc0\xed\xd0\xc5\xcf\xa2\xcf\xb5\xcd\xb3' 1
b'==%%' 1
b'@-=' 1
b'~`~' 1
b'@%^' 1
b'}+[' 1
b']+(' 1
b'?!@#$' 1
b']\\' 1
b'#@&' 1
b')&^)' 1
b'\t\xcb\xad\xb8\xf8\xb8\xf6' 1
b'!@&' 1
b'{}<>$' 1
b'>-' 1
b'())#' 1
b'&&*$^%@' 1
b'!..' 1
b'*))!' 1
b'#%^' 1
b'@($' 1
b'...+' 1
b'***..' 1
b'(&!)!(' 1
b'!<' 1
b'@ @' 1
b'***+-' 1
b'_+=@^$' 1
b'&()_' 1
b'!(&&!)@&' 1
b'@@^$' 1
b'&*$^' 1
b'!/?' 1
b'%!)(@@' 1
b'%&$' 1
b'@#$%^&' 1
b'&&!!)*' 1
b'\xa3\xac\xa1\xa3\xa1\xa2' 1
b'*#()' 1
b'&?-?' 1
b'*.???' 1
b'@+-.' 1
b'/*-++-*/.' 1
b'&?' 1
b'@$@$' 1
b'_#$' 1
b'++==' 1
b'\xb4\xd3\xb4\xf3\xb8\xc5' 1
b'@?$' 1
b'!!&' 1
b'$$$$****' 1
b'__++' 1
b'       ' 1
b':"' 1
b'?:"|' 1
b'--+' 1
b')@!$' 1
b'^+' 1
b'~~!!@@' 1
b'.+*' 1
b'+|' 1
b')*!^' 1
b'_})/' 1
b'@==.' 1
b'@@+-' 1
b'***+++' 1
b'@#!@#' 1
b'.*#' 1
b'@~@~' 1
b')^!' 1
b'[{' 1
b'~~++' 1
b'*()*' 1
b'*%*' 1
b'-++' 1
b'(!@%!(#&*#' 1
b'---!!!' 1
b'%<' 1
b'//==' 1
b'\xbd\xa8\xd6\xfe\xbb\xf9\xcf\xdf\xb2\xe2\xc9\xe8\xbc\xb0\xbd\xa8\xd6\xfe\xb6\xa8\xce\xbb\xca\xb5\xcf\xb0 ' 1
b'\xed\xb5\xd2\xaf\xd0\xdb\xb0\xd4\xc6\xdf\xd6\xd0' 1
b'&&_' 1
b'(+-=' 1
b'*)!)%' 1
b'\xcc\xc7\xb4\xd7' 1
b'??????-' 1
b'!/+' 1
b'```...' 1
b'~!@#$%^&*()' 1
b')^)*' 1
b'@@??' 1
b'\xc2\xed\xc9\xcf\xbc\xa4\xbb\xee\xce\xd2\xb5\xc4\xd5\xca\xba\xc5\xcc\xec\xd1\xc4' 1
b'().' 1
b'>>>' 1
b'@%!' 1
b'$&%' 1
b'*&*' 1
b'(-_\'\'"(_-&' 1
b'@@//' 1
b'.$' 1
b'//*-+' 1
b'+-)(' 1
b'@)!!' 1
b'*~' 1
b'##&' 1
b'.!@#$%' 1
b'()[]{}' 1
b'#$_+' 1
b'#<' 1
b'\xa1\xc4(' 1
b'\xa1\xc5' 1
b')\xa1\xc5(' 1
b'\xa1\xc4' 1
b'@@##?' 1
b'.-@' 1
b'\xc7\xe1\xc1\xbf\xbc\xb6' 1
b'*@)()^' 1
b'\xbd\xa3@' 1
b'@\xd3\xeb@' 1
b';;/.' 1
b'?*/' 1
b'???@@@' 1
b'@@....' 1
b'$%*' 1
b'<})}' 1
b'[."' 1
b'\xbc\xab\xc6\xb7\xcb\xbd\xc8\xcb\xc3\xdc\xc5\xcc' 1
b'@!%@!)' 1
b'*^$' 1
b'()-=' 1
b'++--_' 1
b'&*)' 1
b'======' 1
b'(*)()*' 1
b'=!!' 1
b'///???' 1
b')%!&' 1
b'<%' 1
b'$%^&' 1
b'...///' 1
b'<)' 1
b'%!+' 1
b'$#@&' 1
b'(*)#)$%' 1
b'~!-' 1
b'+-/*' 1
b'#*^$%)^)%' 1
b'!(()!@)' 1
b'\\\\:' 1
b'_**' 1
b'^*&' 1
b'#$%^^^' 1
b'?(' 1
b'\xa1\xe8' 1
b'+--+' 1
b'\xb5\xab\xb9\xfd\xb7\xd6\xb5\xc4\xca\xc7' 1
b'^%@' 1
b'!?!' 1
b'++**--``' 1
b'\xc7\xe0\xb4\xba\xce\xde\xbb\xda' 1
b'@*%' 1
b'\xd0\xdd' 1
b'@&$' 1
b'+\xa8\xa7????' 1
b'(?:?<!(?:[^' 1
b'*./' 1
b'@##' 1
b'\xcd\xf8\xb2\xa9\xca\xbf' 1
b'\xd7\xa2\xb2\xe1\xbb\xfa.' 1
b'.*-/-/' 1
b'\xce\xca\xcf\xc2' 1
b'(@(#!$' 1
b'^$*!^$%!%' 1
b'.++.' 1
b'(()*' 1
b'--++.' 1
b'_...' 1
b'**``' 1
b";'." 1
b'~!!' 1
b'$**' 1
b'$#!$' 1
b'________' 1
b'@&&' 1
b'+..' 1
b'+_)' 1
b'(){' 1
b'@//' 1
b'        ' 1
b'~$*^&#' 1
b'@#$_' 1
b'.+-*+-*.' 1
b'\xc4\xe3\xc2\xe8\xc2\xe8' 1
b'\xb2\xa5' 1
b"/'].;[" 1
b'?.#' 1
b'##!' 1
b'#$@' 1
b'\xb2\xa5\xb3\xf6' 1
b')%@' 1
b')*!(#)$&' 1
b'@#~.' 1
b'.??' 1
b'&!)*@#' 1
b'\xd2\xb0\xc0\xc7' 1
b'+-+-..' 1
b'\xc0\xfc\xcb\xdb' 1
b'&((*%$^#)' 1
b'&*?!@' 1
b'//**--/*-' 1
b'\xd4\xc6\xc4\xcf\xb4\xf3\xd1\xa7' 1
b'\xb0\xac\xee\xa3\xb3\xac\xbc\xb6' 1
b'\xc8\xba\xa3\xba' 1
b'@))()!)!' 1
b'??????????' 1
b'@!^#.' 1
b'_%!!$' 1
b'&*(..' 1
b'.--' 1
b'..**__@!' 1
b'][]' 1
b':-)' 1
b'(#%!%' 1
b'*-*-' 1
b'===\\\\\\' 1
b'(@&(!%' 1
b'#^*' 1
b'!??' 1
b'()&@%*' 1
b'\xa2\xdd\xa2\xe0\xa2\xdb\xa2\xde\xa2\xe1' 1
b'.-/' 1
b'%&*' 1
b'`;/[]' 1
b'*-/' 1
b'|`' 1
b'@$&%*' 1
b'!((&' 1
b'#^@' 1
b'**$))$#(' 1
b'``^' 1
b'***///' 1
b'####****' 1
b'!!!@@@###$$$' 1
b'#!*' 1
b'!@)' 1
b'(!^' 1
b'!(*(!))!' 1
b'{}{}{}' 1
b'[.' 1
b'<&' 1
b'&>' 1
b'\xa1\xf6\xa1\xf6\xa1\xf6\xa1\xf6' 1
b'!&%' 1
b'&*&' 1
b'&&)%!%' 1
b'!@#$=-' 1
b'@#<' 1
b'[;' 1
b'+++*+' 1
b'\xd9\xb0' 1
b"'(%{=)" 1
b'!))&' 1
b'??.' 1
b':*' 1
b'\xb0\xe6\xb5\xc4' 1
b'\xd4\xe7\xc9\xcf\xba\xc3\xa3\xac' 1
b'???...' 1
b'@+@' 1
b'\xc0\xcd\xb6\xaf\xbe\xad\xbc\xc3\xd1\xa7\xbf\xce\xbc\xfe' 1
b'#&(#$#' 1
b'/*-/*-' 1
b'#$#$' 1
b'[@*' 1
b'..++' 1
b'!(*(!@' 1
b"+-*/][';" 1
b"'/" 1
b'\xb0\xb2\xd7\xb0' 1
b'!&@(%^!*' 1
b',.?`~' 1
b'@|' 1
b'+#' 1
b'@@^' 1
b'\xd3\xef\xd1\xd4\xca\xb5\xc0\xfd\xbd\xe2\xce\xf6\xbe\xab\xb4\xe2' 1
b'&&$(' 1
b"'];[" 1
b'???????' 1
b'./*' 1
b'=-==' 1
b'--__' 1
b'          ' 1
b'<>.' 1
b'.//.' 1
b"*'" 1
b'@!$)(##' 1
b'\xcb\xc4\xb8\xf6\xd4\xc2' 1
b'=*' 1
b"'[]" 1
b"'`" 1
b'^)^' 1
b'!((%!@)(' 1
b'!@(' 1
b'\xa3\xbf' 1
b'#*-' 1
b'-\\' 1
b'\xc4\xe3\xba\xc3\xcf\xf1' 1
b'---```' 1
b'**+-*/' 1
b'?+**' 1
b'*\\/' 1
b'!((*' 1
b'$$$$%%%%' 1
b'!(*@@@#' 1
b'!((%)*)(' 1
b'@*@#' 1
b'$@#' 1
b'!((!' 1
b'/*-/*' 1
b'-*/+' 1
b'(((' 1
b']]]///' 1
b'@@!$' 1
b'\xbe\xb2\xd4\xc6' 1
b'\xa3\xab' 1
b'@#\xa3\xa4%' 1
b'\xc7\xef\xd6\xae\xc2\xe4\xd2\xb6\xc0\xee\xe6\xaf\xe6\xaf' 1
b'**!)' 1
b";'[]" 1
b'(*&!' 1
b'(!&%!@#@' 1
b'@@@###' 1
b'===///' 1
b'!(!@' 1
b'_!' 1
b'"\'~`' 1
b'<<>>??' 1
b'#[' 1
b']@' 1
b'#!%' 1
b'$#!!@^' 1
b'@#$%^' 1
b':..' 1
b'.**' 1
b'..!@..' 1
b'\xc9\xcf\xba\xa3\xbc\xe0\xbf\xd8\xb0\xb2\xd7\xb0' 1
b'^&!' 1
b";'./" 1
b'::!!' 1
b':~.' 1
b'."' 1
b'?!()' 1
b'./*-+' 1
b'\\\\\\\\' 1
b'**!!??' 1
b'\xc3\xce\xbb\xc3\xc8\xba\xcf\xc0\xb4\xab' 1
b'&(@%%%' 1
b'_{:><+}|"?' 1
b'?!>' 1
b'@,' 1
b'!(&@' 1
b'_%_' 1
b'@$#*&' 1
b'()&@' 1
b'~!~!' 1
b',.;' 1
b'*#@$&' 1
b'#$&*' 1
b'?.,' 1
b'-]' 1
b'~^' 1
b'{]' 1
b'!@*$)!' 1
b':-' 1
b'!(*$(*' 1
b'!#%&(@$^*!)' 1
b'&)!' 1
b'&(!@)^' 1
b'\xcb\xe6\xb1\xe3' 1
b'!{' 1
b'["' 1
b'<!' 1
b'!(*$$@^' 1
b'$+%=' 1
b'`.`' 1
b";;'" 1
b'&()^)*' 1
b'#$_' 1
b'!/' 1
b'#*%@' 1
b'***###' 1
b'**#' 1
b')%&!' 1
b'${' 1
b'`,' 1
b'*%)' 1
b'./@' 1
b'%#$*' 1
b"[];',./" 1
b"]'[;" 1
b'^^@))*' 1
b'^$#' 1
b'~>' 1
b'(-' 1
b'!(*#)&)#' 1
b'*&)#@(' 1
b'@!$' 1
b'=,' 1
b'###$' 1
b";'/.," 1
b'[]@:' 1
b'&$)$)@' 1
b'.,.' 1
b'%\\' 1
b'%#)' 1
b',,..' 1
b'#-_-#' 1
b'$,' 1
b"//''\\\\" 1
b'%{' 1
b'}^' 1
b'..,,' 1
b',.,' 1
b'*@)!)@' 1
b'*&)!' 1
b'%$!**' 1
b'^,' 1
b'@)!' 1
b'##@$!%' 1
b',(' 1
b'>/;' 1
b'^!!' 1
b'/=-.' 1
b'!(#!' 1
b'&%' 1
b'++*' 1
b'#@#%)@' 1
b'++=' 1
b'@$##' 1
b'???@' 1
b'(*^!!))&' 1
b'!(%^' 1
b',.//.,' 1
b'&&**%@!' 1
b')_' 1
b':)*)' 1
b'$@&' 1
b'&@*$' 1
b'<-' 1
b'))*' 1
b"]'/[;.," 1
b'@!!)' 1
b'*)#' 1
b'!(*@*@!' 1
b'~~``!!' 1
b'\x7f' 1
b"'?" 1
b"*?~?\xa8\xba'=" 1
b')->' 1
b'[]==' 1
b'[]+[]-' 1
b"`'" 1
b'@-$' 1
b'=-*/.' 1
b'+*/' 1
b'(%@&' 1
b'#:' 1
b'+/' 1
b'%!#!$@' 1
b'.!@' 1
b'/~' 1
b'()=' 1
b'~_' 1
b'&*&&' 1
b'^^&&**\\\\' 1
b',-' 1
b'\xa1\xa4' 1
b'##!@' 1
b'}{' 1
b'"?:' 1
b'_+-=()' 1
b'(!!' 1
b'$*)' 1
b'&^$' 1
b'&&&^^^' 1
b'!@#$%_' 1
b')(*&^%' 1
b'!!*' 1
b'@#&*^&^' 1
b'#$!' 1
b'!@#@' 1
b'|_' 1
