different specials: 2234

<specials> <times>
b'!%' 4
b'=?' 4
b'!(&!' 4
b'++__' 4
b'.)' 4
b'?;' 4
b'...@' 4
b'@<' 4
b'|+_' 4
b'~!@#`' 4
b'-=-=' 4
b'*#*' 4
b'+-*.' 4
b'@**' 4
b'.+-*/' 4
b'@^' 4
b')^' 4
b"/'" 4
b'..//' 4
b'.=' 3
b'!@#.' 3
b'%^&*' 3
b'=(' 3
b'*&^' 3
b'------' 3
b']\\[=' 3
b'%^' 3
b'&!' 3
b'!@!@' 3
b'++**' 3
b'%#@' 3
b'`/' 3
b'--**' 3
b';/)' 3
b')%' 3
b'**********' 3
b'@$^*)' 3
b'!#@' 3
b'!(&(' 3
b'!!!!!' 3
b'@[]' 3
b'%+' 3
b'*_*' 3
b'^*^' 3
b'!@#+' 3
b'@!!' 3
b'(@' 3
b'$/' 3
b'.`' 3
b'.(' 3
b'@#_' 3
b')!' 3
b'!!@@##' 3
b'))&' 3
b'=[' 3
b')))' 3
b'!(*' 3
b'/*/*' 3
b'&(' 3
b'.&' 3
b'/@' 3
b'{(' 3
b'(***' 3
b'*%&' 3
b'/=' 3
b'(^' 3
b';.' 3
b'%@!!#!$' 3
b')#!)' 3
b'^%$#@!' 3
b'####' 3
b'++..' 3
b'?*' 3
b'*&^%$#@' 3
b'(!' 3
b'..........' 3
b'*$!!@)' 3
b'.*.' 3
b'^#$' 3
b'!#&' 3
b';@' 3
b']=' 3
b'\xa3\xa4' 3
b'(*%@!!' 3
b';)' 3
b';-' 3
b'+@' 3
b'&^*' 3
b'`\\' 3
b'=@' 3
b'[/' 3
b'.[' 3
b'!!~' 3
b'//..' 3
b'+++++++' 3
b'&:' 3
b'%!' 3
b'!!)' 3
b'^!' 3
b'!(*#' 3
b'!!#' 3
b'*******' 3
b'?+' 3
b'!@%^*' 3
b'/+' 3
b'&$)!!(' 3
b'%%@' 3
b'+++++' 3
b'!!**' 3
b'$$$$$' 3
b'.@*' 3
b'^@^' 3
b'=!' 3
b'$_' 3
b'**++' 3
b'//**--' 3
b'```````' 3
b'&*@#' 3
b'%$#' 3
b'+$' 3
b'++--**//' 3
b'@#*' 3
b'&**' 3
b'@..' 2
b'?:' 2
b'__//' 2
b'\xd7\xa8\xd7\xa2\xd3\xda' 2
b'?!*' 2
b':=' 2
b'<?' 2
b'_=' 2
b'/*.' 2
b'[[]]' 2
b'~_~' 2
b'&(^*' 2
b']:' 2
b'\xa1\xea' 2
b'_(' 2
b']]]' 2
b'@@.' 2
b'.+-' 2
b'!(*)' 2
b'_..' 2
b'!@@' 2
b')@@' 2
b'**^' 2
b'**_' 2
b',<.>' 2
b'!!!!!!!!' 2
b'///***' 2
b'--\\\\' 2
b'<(' 2
b'@*+' 2
b'@<>' 2
b'&*!!!(' 2
b'++/' 2
b')@%' 2
b'[\\' 2
b'&^%' 2
b'@$^&#(' 2
b'@!@' 2
b'"""' 2
b'=--=' 2
b'!@#*' 2
b'<<<' 2
b'^(' 2
b'~|' 2
b'@#$@' 2
b'_~' 2
b'?&' 2
b'^@(' 2
b'~@#$' 2
b'&^%$#@!' 2
b'&#' 2
b"[];'./" 2
b'#$^' 2
b'!)$&' 2
b'#!@' 2
b'=$' 2
b'@@))&' 2
b'\xf1\xdc\xf1\xda\xc0\xb6\xc2\xc6' 2
b'!@!$' 2
b'#*#' 2
b'=-*/' 2
b'!((@' 2
b'@@!' 2
b'!))%' 2
b'@ ' 2
b'$%^.' 2
b'??!!' 2
b'-><' 2
b'-.-' 2
b"'/;." 2
b'):' 2
b'!!??' 2
b'\xa8' 2
b'-----' 2
b'**@@' 2
b'--.' 2
b'!@#)' 2
b'!(*$)*!!' 2
b'+++***' 2
b'~-' 2
b'[][]' 2
b'<><>' 2
b'$  ' 2
b' *' 2
b'+-=' 2
b'#/' 2
b'@.@' 2
b'@@&' 2
b'.=-' 2
b'!(*(@!)' 2
b'\xa1\xaa' 2
b'$~' 2
b'* ' 2
b'#@#' 2
b'^%' 2
b'\xa3\xac' 2
b'#-' 2
b'$#$' 2
b'$=' 2
b'(_' 2
b'%(' 2
b']/' 2
b'[]()' 2
b')(*&^' 2
b')(!*' 2
b'^(%' 2
b'@@&&' 2
b'**-' 2
b'//.' 2
b'(&' 2
b'!!$' 2
b'!)*!$))!' 2
b'!)@(' 2
b'@@**' 2
b'.#' 2
b'%%%%' 2
b'*#+' 2
b'&<' 2
b'?_' 2
b'#(' 2
b'@$^*' 2
b'@#&' 2
b'**%%' 2
b'##$$' 2
b'_<' 2
b'*@@' 2
b'@^&' 2
b'_#' 2
b'__________' 2
b'--=' 2
b'=.' 2
b']+' 2
b'`.' 2
b'+++---' 2
b'*@#' 2
b'```==' 2
b'..+' 2
b'---+++' 2
b'!@#...' 2
b'#@*' 2
b'%@)!#!$' 2
b'>.' 2
b'...***' 2
b'^#' 2
b'***&&&' 2
b'&)#@' 2
b'@@!!' 2
b'@$&' 2
b'()?' 2
b'\\-=' 2
b'/`' 2
b'!))@!!' 2
b'**(' 2
b'#$#' 2
b",./';" 2
b'!))(' 2
b'!(*&' 2
b'^%$' 2
b'\xc1\xe9\xd6\xe9' 2
b'#^' 2
b'***+' 2
b'/..' 2
b' -' 2
b'.++' 2
b'#+' 2
b')(*&^%$#@!' 2
b'/;.' 2
b'\\]=[-' 2
b'_"' 2
b'` ' 2
b'@^_^@' 2
b'/&' 2
b'(@)' 2
b'&*(%!@#' 2
b'!((^' 2
b'//////' 2
b'-+.' 2
b'$<>' 2
b'!@*' 2
b';<' 2
b'~(' 2
b'$(' 2
b'@,.' 2
b'!*@!' 2
b'*..' 2
b'=>' 2
b'**&' 2
b']_' 2
b'<.' 2
b'(_)#' 2
b'\xa2\xd9' 2
b"\\';" 2
b'#$%^' 2
b'!@+_' 2
b')**' 2
b'##$' 2
b' .' 2
b'++__##**' 2
b'+*-' 2
b'%%^^' 2
b'!(*@' 2
b'.+.+' 2
b'\\[' 2
b'!!!???' 2
b'!%*' 2
b'**&&' 2
b'@))*' 2
b'][][' 2
b'._.' 2
b'$#)' 2
b'.%' 2
b'!@#$@' 2
b', ' 2
b'~<>?' 2
b'+-+-' 2
b'+-*/+-*/' 2
b'#$&' 2
b'%%%%%%' 2
b'=/' 2
b'%!&' 2
b'!@-' 2
b'*()_+' 2
b'!-' 2
b'!@@%' 2
b'&&%*' 2
b'=-=-' 2
b'/]' 2
b'&&**' 2
b'-!@#' 2
b'$$$$' 2
b'("' 2
b'&.' 2
b'\\?' 2
b";'@" 2
b'@#!' 2
b'-..--' 2
b'+++*' 2
b'&^%$' 2
b'!@@)' 2
b'!@.' 2
b'-+*' 2
b'====' 2
b'()()' 2
b'@*#' 2
b'*@^' 2
b'*^' 2
b'@@$$' 2
b'?????' 2
b'@-@' 2
b'^^^' 2
b';:' 2
b'*#!' 2
b'@!*' 2
b'_?' 2
b'@))$' 2
b'*@*' 2
b'@#%' 2
b'/*+' 2
b'/////' 2
b'$&~' 2
b'$$$$$$$' 2
b'@%*' 2
b'!@#?' 2
b'-_-' 2
b'**##' 2
b'*@!' 2
b'#!$' 2
b'^^*' 2
b'`=' 2
b'@[' 2
b')-' 2
b'*#@' 2
b'--++' 2
b'*+*' 2
b'(#)' 2
b'\\|' 2
b'@@@!' 2
b')@!^' 2
b'(?' 2
b'@))&' 2
b')%(!' 1
b'*^&%#)(' 1
b'*$(($)@' 1
b'.;/[]' 1
b'~~..' 1
b'@$(' 1
b')&)^' 1
b'-@-' 1
b'!!#@' 1
b'???!!!' 1
b'\\`=' 1
b'\xb4\xba\xd0\xa1\xc2\xf3' 1
b'^#*%' 1
b"-['" 1
b'&)(' 1
b'*()$@*' 1
b'~ ' 1
b'(&(' 1
b'|-|' 1
b'\xa1\xf9\xa1\xf9' 1
b'!%@' 1
b'^_^@' 1
b'=/\\' 1
b';;;;' 1
b'#+@' 1
b'~~!' 1
b'<>+-' 1
b')/' 1
b'\xcd\xbc\xca\xe9\xd0\xc5\xcf\xa2\xb9\xdc\xc0\xed\xcf\xb5\xcd\xb3\xc9\xe8\xbc\xc6\xa3\xac' 1
b'&*^' 1
b'##%$' 1
b'[]./@' 1
b'*^^*' 1
b'#*_' 1
b'&^&#!' 1
b'\xa7\xdd\xa7\xea\xa7\xd5\xa7\xd5\xa7\xeb\xa7\xf0' 1
b'%!(' 1
b'#%&' 1
b'!@%$&**' 1
b'\xb5\xda' 1
b'\xd5\xc2 ' 1
b'!@#$*&^%' 1
b'^>^' 1
b'[?]' 1
b'/*.<>?' 1
b')!!$' 1
b'#@&^!@' 1
b'!|' 1
b'\xc0\xef\xb3\xcc\xb1\xae' 1
