different digits: 15260

<digits> <times>
b'1229' 7
b'317' 7
b'468' 7
b'649' 7
b'536' 7
b'156' 7
b'923' 7
b'205' 7
b'624' 7
b'224' 7
b'4444' 7
b'549' 7
b'1120' 7
b'529' 7
b'171' 7
b'513' 7
b'203' 7
b'1227' 7
b'329' 7
b'673' 7
b'150' 7
b'270' 7
b'1950' 7
b'267' 7
b'1022' 7
b'633' 7
b'1026' 7
b'1947' 7
b'932' 7
b'634' 7
b'905' 7
b'135' 7
b'451' 7
b'805' 7
b'679' 7
b'632' 7
b'564' 7
b'928' 7
b'622' 7
b'439' 7
b'837' 7
b'394' 7
b'543' 7
b'485' 7
b'845' 7
b'085044' 7
b'067988' 7
b'1104' 6
b'1492' 6
b'1218' 6
b'429' 6
b'438' 6
b'294' 6
b'123321' 6
b'1997' 6
b'615' 6
b'894' 6
b'422' 6
b'1331' 6
b'652' 6
b'1908' 6
b'743' 6
b'976' 6
b'854' 6
b'1066' 6
b'242' 6
b'133' 6
b'228' 6
b'1959' 6
b'225' 6
b'493' 6
b'913' 6
b'719' 6
b'967' 6
b'147' 6
b'1020' 6
b'929' 6
b'248' 6
b'1206' 6
b'1219' 6
b'251' 6
b'1611' 6
b'404' 6
b'465' 6
b'848' 6
b'432' 6
b'987654' 6
b'1952' 6
b'2426' 6
b'1953' 6
b'524' 6
b'303' 6
b'959' 6
b'115' 6
b'798' 6
b'1954' 6
b'631' 6
b'475' 6
b'817' 6
b'1011' 6
b'453' 6
b'233' 6
b'331' 6
b'253' 6
b'479' 6
b'232' 6
b'180' 6
b'153' 6
b'1776' 6
b'612' 6
b'197' 6
b'393' 6
b'737' 6
b'226' 6
b'1007' 6
b'951' 6
b'7399' 6
b'127' 6
b'9999' 6
b'2223' 6
b'347' 6
b'948' 6
b'324' 6
b'921' 6
b'627' 6
b'539' 6
b'724' 6
b'227' 6
b'2355' 6
b'103' 6
b'598' 6
b'005' 6
b'618' 6
b'626' 6
b'1112' 6
b'478' 6
b'991' 6
b'944' 6
b'107' 6
b'956' 6
b'399' 6
b'574' 6
b'0412' 6
b'942' 6
b'108' 6
b'0007' 6
b'359' 6
b'910' 6
b'428' 6
b'3312' 6
b'244' 6
b'191' 6
b'729' 6
b'0531' 6
b'974' 6
b'546' 6
b'1865' 6
b'1213' 6
b'772' 6
b'0429' 6
b'458' 6
b'024' 6
b'0927' 6
b'563' 6
b'231' 6
b'6876' 6
b'227878' 6
b'919' 5
b'904' 5
b'2600' 5
b'754' 5
b'702' 5
b'5535' 5
b'750' 5
b'822' 5
b'446' 5
b'726' 5
b'173' 5
b'0204' 5
b'8899' 5
b'551' 5
b'636' 5
b'1354' 5
b'1102' 5
b'240' 5
b'358' 5
b'734' 5
b'884' 5
b'1023' 5
b'355' 5
b'1130' 5
b'824' 5
b'006' 5
b'4330' 5
b'1520' 5
b'716' 5
b'0620' 5
b'1126' 5
b'2704' 5
b'157' 5
b'383' 5
b'650' 5
b'1101' 5
b'4209' 5
b'780' 5
b'682' 5
b'1226' 5
b'766' 5
b'1369' 5
b'802' 5
b'477' 5
b'672' 5
b'162' 5
b'7648' 5
b'080' 5
b'286' 5
b'1266' 5
b'151' 5
b'4524' 5
b'272' 5
b'301' 5
b'995' 5
b'241' 5
b'238' 5
b'5673' 5
b'4603' 5
b'293' 5
b'1825' 5
b'579' 5
b'5415' 5
b'1107' 5
b'1014' 5
b'3377' 5
b'2345' 5
b'955' 5
b'243' 5
b'901' 5
b'701' 5
b'5454' 5
b'829' 5
b'839' 5
b'12312' 5
b'710' 5
b'538' 5
b'008' 5
b'315' 5
b'1220' 5
b'525' 5
b'642' 5
b'1207' 5
b'159753' 5
b'835' 5
b'492' 5
b'208' 5
b'706' 5
b'1961' 5
b'1951' 5
b'803' 5
b'356' 5
b'610' 5
b'755' 5
b'528' 5
b'735' 5
b'1012' 5
b'773' 5
b'275' 5
b'392' 5
b'063' 5
b'1616' 5
b'690' 5
b'987654321' 5
b'712' 5
b'6706' 5
b'398' 5
b'022' 5
b'4500' 5
b'273' 5
b'4204' 5
b'892' 5
b'718' 5
b'2015' 5
b'1962' 5
b'285' 5
b'2424' 5
b'789456' 5
b'1144' 5
b'7926' 5
b'1127' 5
b'562' 5
b'1123581321' 5
b'266' 5
b'11111' 5
b'472' 5
b'658' 5
b'531' 5
b'1230' 5
b'960' 5
b'0823' 5
b'0624' 5
b'2323' 5
b'083' 5
b'856' 5
b'736' 5
b'886' 5
b'210' 5
b'873' 5
b'2729' 5
b'566' 5
b'970' 5
b'379' 5
b'237' 5
b'663' 5
b'3320' 5
b'380' 5
b'407' 5
b'239' 5
b'545' 5
b'276' 5
b'0202' 5
b'675' 5
b'344' 5
b'850' 5
b'140' 5
b'159357' 5
b'915' 5
b'0987' 5
b'437' 5
b'635' 5
b'763' 5
b'112233' 5
b'0218' 5
b'655' 5
b'045' 5
b'386' 5
b'648' 5
b'989' 5
b'1335' 5
b'969' 5
b'689' 5
b'5437' 5
b'2469' 5
b'2659' 5
b'561' 5
b'964' 5
b'1931' 5
b'351' 5
b'166' 5
b'1929' 5
b'8212604' 5
b'9024' 5
b'534' 4
b'686' 4
b'004' 4
b'1172' 4
b'259' 4
b'986' 4
b'645' 4
b'154' 4
b'840' 4
b'290' 4
b'9139' 4
b'4550' 4
b'623' 4
b'271' 4
b'860' 4
b'362' 4
b'425' 4
b'4891' 4
b'2723' 4
b'3036' 4
b'1031' 4
b'757' 4
b'908' 4
b'494' 4
b'643' 4
b'340' 4
b'322' 4
b'532' 4
b'3232' 4
b'842' 4
b'877' 4
b'003' 4
b'304' 4
b'9114' 4
b'2945' 4
b'1228' 4
b'584' 4
b'138' 4
b'264' 4
b'364' 4
b'5662' 4
b'302' 4
b'5253' 4
b'519' 4
b'558' 4
b'691' 4
b'416' 4
b'0808' 4
b'418' 4
b'0909' 4
b'2545' 4
b'1928' 4
b'031' 4
b'935' 4
b'149' 4
b'1004' 4
b'893' 4
b'2737' 4
b'408' 4
b'473' 4
b'741' 4
b'037' 4
b'1515' 4
b'8804' 4
b'1201' 4
b'0705' 4
b'447' 4
b'189' 4
b'620' 4
b'1210' 4
b'0316' 4
b'779' 4
b'617' 4
b'283' 4
b'2626' 4
b'507' 4
b'1830' 4
b'0223' 4
b'866' 4
b'1806' 4
b'653' 4
b'715' 4
b'897' 4
b'206' 4
b'354' 4
b'1518' 4
b'696' 4
b'2389' 4
b'7777777' 4
b'183' 4
b'867' 4
b'258' 4
b'788' 4
b'3535' 4
b'1216' 4
b'017' 4
b'1208' 4
b'336' 4
b'980' 4
b'613' 4
b'608' 4
b'705' 4
b'535' 4
b'2206' 4
b'1211' 4
b'740' 4
b'6507' 4
b'518' 4
b'481' 4
b'1310' 4
b'1199' 4
b'1016' 4
b'949' 4
b'8502' 4
b'785' 4
b'1116' 4
b'914' 4
b'813' 4
b'523' 4
b'402' 4
b'899' 4
b'820' 4
b'0513' 4
b'442' 4
b'10000' 4
b'0505' 4
b'756' 4
b'2800' 4
b'464' 4
b'0616' 4
b'752' 4
b'363' 4
b'660' 4
b'5006' 4
b'776' 4
b'172' 4
b'361' 4
b'070191' 4
b'4020' 4
b'376' 4
b'571' 4
b'486' 4
b'688' 4
b'939' 4
b'3404' 4
b'289' 4
b'978' 4
b'852' 4
b'0110' 4
b'516' 4
b'169' 4
b'537' 4
b'3432' 4
b'249' 4
b'585' 4
b'20012131' 4
b'2382' 4
b'4639' 4
b'9840' 4
b'433' 4
b'961' 4
b'5573' 4
b'1028' 4
b'209' 4
b'3930' 4
b'5000' 4
b'9632' 4
b'474' 4
b'556' 4
b'0409' 4
b'2408' 4
b'123654' 4
b'953' 4
b'1425' 4
b'2825' 4
b'2414' 4
b'4545' 4
b'1030' 4
b'288' 4
b'3342' 4
b'745' 4
b'498' 4
b'000000' 4
b'596' 4
b'6637' 4
b'375' 4
b'2327' 4
b'0388' 4
b'0215' 4
b'8800' 4
b'3355' 4
b'0711' 4
b'8520' 4
b'0123456789' 4
b'573' 4
b'367' 4
b'918' 4
b'0220' 4
b'9906' 4
b'5008' 4
b'722' 4
b'177' 4
b'782' 4
b'3396' 4
b'593' 4
b'0209' 4
b'522' 4
b'7420' 4
b'826' 4
b'456123' 4
b'586' 4
b'993' 4
b'1134' 4
b'1005' 4
b'3243' 4
b'033' 4
b'7657' 4
b'917914' 4
b'374' 4
b'0206' 4
b'308' 4
b'097' 4
b'042' 4
b'5577' 4
b'578' 4
b'994' 4
b'387' 4
b'297' 4
b'3247' 4
b'7792' 4
b'9292' 4
b'6843' 4
b'5787' 4
b'875' 4
b'035' 4
b'7788' 4
b'370' 4
b'759' 4
b'5778' 4
b'2928' 4
b'2984' 4
b'560' 4
b'998' 4
b'3002' 4
b'0573' 4
b'466' 4
b'963' 4
b'8379' 4
b'0953' 4
b'990' 4
b'265' 4
b'2859' 4
b'0320' 4
b'580' 4
b'962' 4
b'6274' 4
b'744' 4
b'074' 4
b'833' 4
b'0304' 4
b'060' 4
b'807' 4
b'778' 4
b'353' 4
b'7765' 4
b'123454321' 4
b'39571' 4
b'2314' 4
b'3363703' 4
b'721' 4
b'213580' 4
b'9700662917' 4
b'2725' 3
b'3278' 3
b'3039' 3
b'1912' 3
b'521' 3
b'2307' 3
b'3825' 3
b'199' 3
b'417' 3
b'0558' 3
b'3363' 3
b'53172' 3
b'6842' 3
b'1832' 3
b'4141' 3
b'010' 3
b'1420' 3
b'2277' 3
b'0710' 3
b'1090' 3
b'815' 3
b'1712' 3
b'4850' 3
b'3510' 3
b'9946' 3
b'4011' 3
b'503' 3
b'4673' 3
b'916' 3
b'0807' 3
b'148' 3
b'2208' 3
b'0611' 3
b'9625' 3
b'4751' 3
b'3308' 3
b'5705' 3
b'3030' 3
b'1755' 3
b'1942' 3
b'1926' 3
b'489' 3
b'5566' 3
b'1121' 3
b'040' 3
b'4579' 3
b'739' 3
b'985' 3
b'5570' 3
b'5126' 3
b'055' 3
b'811' 3
b'943' 3
b'7289' 3
b'5451737' 3
b'5232' 3
b'6815' 3
b'462' 3
b'790' 3
b'742' 3
b'741852963' 3
b'1718' 3
b'888888' 3
b'0817' 3
b'547' 3
b'8225' 3
b'11235813' 3
b'3040' 3
b'1815' 3
b'7500' 3
b'2565' 3
b'6020' 3
b'4899' 3
b'1295' 3
b'2990' 3
b'1215' 3
b'577' 3
b'434' 3
b'1924' 3
b'0921' 3
b'2733' 3
b'207' 3
b'1717' 3
b'601' 3
b'487' 3
b'1119' 3
b'282' 3
b'1752' 3
b'062' 3
b'246822' 3
b'2420' 3
b'0514' 3
b'388' 3
b'252525' 3
b'1019' 3
b'5123' 3
b'1080' 3
b'7007' 3
b'1844' 3
b'1941' 3
b'1720' 3
b'501' 3
b'2025' 3
b'1434' 3
b'9700' 3
b'021' 3
b'1231' 3
b'1008' 3
b'0402' 3
b'664' 3
b'1519' 3
b'1541' 3
b'7833' 3
b'587' 3
b'130' 3
b'938' 3
b'5151' 3
b'1925' 3
b'857' 3
b'167' 3
b'1401' 3
b'405' 3
b'3141' 3
b'862' 3
b'3852' 3
b'1018' 3
b'0804' 3
b'2226' 3
b'8864' 3
b'1209' 3
b'0430' 3
b'2305' 3
b'9339' 3
b'0123' 3
b'804' 3
b'1340' 3
b'3746' 3
b'053' 3
b'343458' 3
b'1628' 3
b'730' 3
b'296' 3
b'2287' 3
b'8487' 3
b'2333' 3
b'071203' 3
b'7734' 3
b'2656' 3
b'764' 3
b'1465' 3
b'1415' 3
b'3939' 3
b'0724' 3
b'368' 3
b'708' 3
b'1222' 3
b'1723' 3
b'128' 3
b'1812' 3
b'1308' 3
b'3276' 3
b'799' 3
b'1918' 3
b'0126' 3
b'979' 3
b'3589' 3
b'7339' 3
b'831' 3
b'470' 3
b'381' 3
b'879' 3
b'430' 3
b'2136' 3
b'495' 3
b'7806' 3
b'0022' 3
b'1065' 3
b'806' 3
b'614' 3
b'725' 3
b'2347' 3
b'2259' 3
b'1648' 3
b'463' 3
b'229' 3
b'1472' 3
b'1944' 3
b'0479' 3
b'767' 3
b'2312' 3
b'1003' 3
b'851' 3
b'3031' 3
b'4659' 3
b'6841' 3
b'2300' 3
b'390' 3
b'4023' 3
b'3384' 3
b'3129' 3
b'4601' 3
b'1923' 3
b'665' 3
b'4587' 3
b'609' 3
b'588' 3
b'2993' 3
b'768' 3
b'832' 3
b'2886' 3
b'0105' 3
b'1327' 3
b'5465' 3
b'3324' 3
b'1732' 3
b'121212' 3
b'4992' 3
b'6789' 3
b'2911' 3
b'527' 3
b'5579' 3
b'0216' 3
b'4940' 3
b'4972' 3
b'0227' 3
b'793' 3
b'2812' 3
b'2101' 3
b'371' 3
b'8092' 3
b'8087' 3
b'7600' 3
b'8869' 3
b'3110' 3
b'2941' 3
b'3841' 3
b'731' 3
b'12344321' 3
b'958' 3
b'1060' 3
b'2069' 3
b'6782' 3
b'5882' 3
b'8002' 3
b'1919' 3
b'865' 3
b'3563' 3
b'19347010' 3
b'1344' 3
b'699' 3
b'1118' 3
b'299' 3
b'2502' 3
b'3946' 3
b'2750' 3
b'544' 3
b'3309' 3
b'1287' 3
b'704' 3
b'606' 3
b'5845' 3
b'895' 3
b'480' 3
b'2056' 3
b'0815' 3
b'554' 3
b'685' 3
b'6306' 3
b'770' 3
b'338' 3
b'1300' 3
b'6373' 3
b'31337' 3
b'292' 3
b'846' 3
b'8484' 3
b'931' 3
b'1413' 3
b'1940' 3
b'1943' 3
b'274' 3
b'1221' 3
b'8432' 3
b'165' 3
b'9889' 3
b'471' 3
b'540' 3
b'1103' 3
b'1324' 3
b'3655' 3
b'1488' 3
b'484' 3
b'7000' 3
b'0101' 3
b'940' 3
b'00000000' 3
b'9792' 3
b'9304' 3
b'0324' 3
b'694' 3
b'3637' 3
b'2400' 3
b'321321' 3
b'179' 3
b'0521' 3
b'6225' 3
b'0830' 3
b'1143' 3
b'1050' 3
