different emails: 70722

<emails> <times>
b'chongseo.net' 151
b'168.com' 150
b'telekbird.com.cn' 149
b'huaweisymantec.com' 149
b'yahoo.fr' 147
b'tcl.com' 147
b'YAHOO.COM' 147
b'mail.nwpu.edu.cn' 146
b'midea.com.cn' 146
b'sweetmartmarketing.com' 146
b'utstar.com' 143
b'digitalchina.com' 142
b'xuite.net' 141
b'mail.csdn.net' 141
b'bbn.cn' 139
b'cnnb.net' 138
b'alcatel-lucent.com' 137
b'cmbchina.com' 137
b'mail2.sysu.edu.cn' 136
b'ict.ac.cn' 136
b'discuz.org' 136
b'zjnu.net' 135
b'X263.net' 132
b'163.NET' 131
b'tzc.edu.cn' 131
b'cnpc.com.cn' 131
b'pegatroncorp.com' 129
b'Yeah.net' 127
b'cqit.edu.cn' 125
b'hqu.edu.cn' 125
b'siemens.com' 125
b'chinese.com' 124
b'longtop.com' 124
b'263.net.cn' 123
b'TOM.com' 123
b'yahoo.de' 123
b'ahut.edu.cn' 123
b'kingdee.com' 121
b'scse.com.cn' 121
b'sbell.com.cn' 121
b'990.net' 120
b'hotmail.de' 120
b'163.om' 119
b'yahoo.com.au' 119
b'VIP.QQ.COM' 119
b'sina100.com' 118
b'SOHU.com' 118
b'email.com.cn' 117
b'w.cn' 117
b'133sh.com' 117
b'163.cm' 117
b'sdu.edu.cn' 116
b'tongji.edu.cn' 116
b'163.cn' 116
b'MSN.COM' 116
b'hhu.edu.cn' 116
b'com.cn' 115
b'slof.com' 115
b'h3c.com' 114
b'sina.COM' 114
b'suda.edu.cn' 113
b'EYOU.COM' 112
b'sia.cn' 111
b'yandex.ru' 111
b'motorola.com' 111
b'yopmail.com' 111
b'ffcs.cn' 110
b'live.jp' 110
b'cn.fujitsu.com' 110
b'ntu.edu.tw' 109
b'21.com' 108
b'mic.com.tw' 108
b'vip.sina.com.cn' 107
b'myce.net.cn' 107
b'163.net___csdn_1' 106
b'bankcomm.com' 106
b'auo.com' 106
b'email.jlu.edu.cn' 106
b'ruc.edu.cn' 106
b'iflytek.com' 106
b'hslcn.com' 106
b'cvicse.com' 106
b'cableplus.com.cn' 105
b'9.cn' 105
b'mail.sc.cninfo.net' 103
b'pingan.com.cn' 103
b'Foxmail.com' 103
b'teg.cn' 102
b'sin.com' 102
b'alibaba-inc.com' 102
b'candasm.com' 102
b'sina.net' 101
b'smail.hust.edu.cn' 101
b'hrbeu.edu.cn' 100
b'e172.com' 100
b'stud.buct.edu.cn' 99
b'gamil.com' 97
b'sohu.net' 97
b'whut.edu.cn' 96
b'HOTMAIL.com' 96
b'12.com' 96
b'ufsoft.com.cn' 95
b'mail.hz.zj.cn' 95
b'hisense.com' 95
b'email.com' 95
b'FOXMAIL.COM' 95
b'shou.com' 94
b'1.2' 94
b'21cn.com___csdn_1' 93
b'hotmail.com.cn' 93
b'ntu.edu.sg' 92
b'dhcc.com.cn' 92
b'changhong.com' 91
b'mails.jlu.edu.cn' 91
b'jlonline.com' 90
b'mail2000.com.tw' 90
b'Sina.com' 90
b'jlu.edu.cn' 90
b'google.com' 90
b'Live.cn' 90
b'gxlu.com.cn' 90
b'ls0578.net' 89
b'nwsuaf.edu.cn' 89
b'Tom.com' 89
b'11.com' 89
b'gmx.de' 88
b'scut.edu.cn' 88
b'126.com.cn' 88
b'16.com' 88
b'qianlong.com' 86
b'mop.com' 86
b'cse.buaa.edu.cn' 86
b'liteon.com' 86
b'rocketmail.com' 86
b'mail.biti.edu.cn' 85
b'datangmobile.cn' 85
b'sinaman.com' 85
b'pub.xaonline.com' 84
b'hotmial.com' 84
b'smmail.cn' 84
b'hnmcc.com' 84
b'meltmail.com' 84
b'qq.co' 84
b'189.com' 84
b'bpo-morinaga.com' 84
b'public.wh.hb.cn' 83
b'dell.com' 83
b'ericsson.com' 83
b'126.con' 83
b'lenovo.com' 82
b'st.lzu.edu.cn' 82
b'fiberhome.com.cn' 82
b'bigfoot.com' 81
b'tsinghua.edu.cn' 81
b'use.com.cn' 81
b'heinfo.net' 81
b'YAHOO.COM.TW' 81
b'163169.net' 81
b'qq163.com' 81
b'focusnm.com' 81
b'111.com' 80
b'buaa.edu.cn' 80
b'sdf.com' 80
b'szonline.net' 80
b'lucent.com' 80
b'qq.cpm' 80
b'gsta.com' 79
b'mail.hf.ah.cn' 79
b'cnuninet.com' 79
b'travelsky.com' 79
b'qqq.com' 79
b'tydic.com' 78
b'netvigator.com' 78
b'vvf.cn' 78
b'benq.com' 78
b'huateng.com' 77
b'founder.com.cn' 77
b'nsn.com' 77
b'designhot.net.cn' 77
b'cattsoft.com' 77
b'hz.cn' 76
b'GMAIL.com' 76
b'webmail.hzau.edu.cn' 76
b'si-tech.com.cn' 75
b'hikvision.com' 75
b'quantacn.com' 75
b'xjgc.com' 74
b'VIP.qq.com' 74
b'css.com.cn' 74
b'asustek.com.cn' 74
b'souhu.com' 74
b'pub.ss.pku.edu.cn' 74
b'ihep.ac.cn' 74
b'ceopen.cn' 73
b'13.com' 73
b'asd.com' 73
b'jx163.com' 73
b'tfol.com' 73
b'vip.citiz.net' 73
b'metarnet.com' 72
b'ultrapower.com.cn' 72
b'mail.bjtu.edu.cn' 72
b'cumt.edu.cn' 72
b'pku.org.cn' 71
b'vip.sohu.net' 70
b'm2k.com.tw' 70
b'newmail.dlmu.edu.cn' 70
b'bipt.edu.cn' 70
b'student.ecnu.edu.cn' 70
b'363.net' 69
b'ncsi.com.cn' 69
b'.163.com' 69
b'live.ca' 69
b'beyondsoft.com' 69
b'qq.xom' 69
b'bj1860.net' 68
b'zy165.com' 68
b'jsmail.com.cn' 68
b'yuchengtech.com' 68
b'fzu.edu.cn' 67
b'yxnu.net' 67
b'ust.hk' 66
b'netbig.com' 66
b'21CN.com' 66
b'faw.com.cn' 66
b'bjut.edu.cn' 66
b'tpvaoc.com' 66
b'so-net.net.tw' 66
b'sict.ac.cn' 66
b'cet6v4.com' 66
b'ustc.edu.cn' 65
b'mail.imnu.edu.cn' 65
b'kingsoft.com' 65
b'cauc.edu.cn' 65
