different unknow characters: 35

<character> <times>
----------------------------------------
b'!' 3868
b'@' 2921
b'$' 1945
b'_' 1691
b'*' 1598
b'#' 1403
b'-' 1081
b';' 643
b'&' 608
b'.' 526
b'%' 356
b'+' 257
b'^' 204
b'=' 183
b' ' 182
b'?' 103
b'/' 85
b'~' 81
b',' 68
b'(' 50
b')' 44
b']' 26
b'[' 23
b'`' 18
b'|' 7
b'\\' 5
b'}' 4
b'{' 3
b'\xb3' 2
b'\xf1' 2
b'\xb1' 1
b'\xb4' 1
b'\xdc' 1
b'\xc7' 1
b'\xe8' 1
